Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
      0.11000     11.15490      5.98188      5.43127
      0.12000     23.22464     12.38291     11.16106
      0.13000     83.61095     43.40187     40.43714
      0.14000    166.22717     86.02620     80.31210
      0.15000    133.18443     69.24320     64.03277
      0.16000     47.66236     25.73913     22.07347
      0.17000     30.97601     18.55772     12.56061
      0.18000     94.09698     56.87918     37.29938
      0.19000    172.19366    104.46370     67.79467
      0.20000    130.33445     80.02255     50.36523
      0.21000     66.86065     45.40586     21.47726
      0.22000     84.42139     63.68889     20.74130
      0.23000     82.78078     62.90410     19.89251
      0.24000     38.73025     28.84344      9.92169
      0.25000     18.45447     12.78185      5.74452
      0.26000     17.37624     11.47585      6.02092
      0.27000     17.16450     11.40919      5.87735
      0.28000     15.33069     10.15082      5.24044
      0.29000     18.33865     11.24324      7.11335
      0.30000     57.60799     33.36016     24.26061
      0.31000    149.30219     86.16157     63.15340
      0.32000    167.63662     96.45232     71.19305
      0.33000     92.49554     51.81687     40.68659
      0.34000     99.74200     50.78373     48.96813
      0.35000    204.38551    101.61026    102.78819
      0.36000    230.03928    114.96876    115.11006
      0.37000    134.79816     68.60082     66.28175
      0.38000     55.95944     29.91399     26.12850
      0.39000     32.52321     18.42031     14.14173
      0.40000     28.34637     16.43036     11.92723
      0.41000     28.44503     16.69062     11.76051
      0.42000     29.51688     17.26170     12.26545
      0.43000     30.58343     17.91214     12.68189
      0.44000     31.16889     18.37648     12.79797
      0.45000     43.30930     25.14713     18.16635
      0.46000    108.69203     61.67289     47.02996
      0.47000    190.72824    107.49911     83.26398
      0.48000    151.71157     85.45741     66.30942
      0.49000     69.00935     38.98460     30.08039
      0.50000     57.00516     30.39595     26.66526
      0.51000    123.51980     59.36108     64.21252
      0.52000    192.02767     89.41487    102.65627
      0.53000    136.12800     64.31304     71.83353
      0.54000     56.59470     28.93856     27.66047
      0.55000     33.09151     18.42846     14.66607
      0.56000     32.41453     18.31610     14.10077
      0.57000     40.85684     23.00749     17.85006
      0.58000     73.71963     40.98864     32.73107
      0.59000    159.47163     87.66834     71.80329
      0.60000    198.43231    108.81856     89.61375
      0.61000    117.77962     64.89537     52.88425
      0.62000     52.25415     29.22139     23.03276
      0.63000     36.07906     20.38457     15.69450
      0.64000     36.88902     20.88388     16.00514
      0.65000     40.79954     23.13553     17.66401
      0.66000     40.94051     23.20120     17.73932
      0.67000     38.17703     21.62171     16.55531
      0.68000     35.31235     19.83314     15.47921
      0.69000     37.01457     20.47561     16.53896
      0.70000     42.34504     23.33052     19.01452
      0.71000     47.08400     25.87372     21.21027
      0.72000     48.02048     26.36693     21.65355
      0.73000     43.78592     24.24377     19.54215
      0.74000     37.88760     21.14515     16.74245
      0.75000     33.98652     18.89270     15.09381
      0.76000     34.03080     18.78370     15.24710
      0.77000     38.92831     21.41590     17.51246
      0.78000     43.96187     24.12808     19.83825
      0.79000     44.77676     25.22733     19.68717
      0.80000     52.35144     36.05279     17.86460
      0.81000     89.16997     79.02467     16.69567
      0.82000    117.44972    110.59699     16.93710
      0.83000     83.50425     71.98523     17.23661
      0.84000     48.52481     32.12536     17.59571
      0.85000     41.27607     23.04865     18.32036
      0.86000     42.50504     22.71702     19.79075
      0.87000     56.12516     26.97344     29.15172
      0.88000     96.32722     41.12965     55.19758
      0.89000    110.85445     46.13685     64.71760
      0.90000     66.17358     29.21758     36.95599
      0.91000     32.41024     16.24869     16.16155
      0.92000     24.39265     12.98360     11.40905
      0.93000     23.88013     12.76268     11.11745
      0.94000     27.48564     14.56020     12.92544
      0.95000     31.75335     16.85872     14.89463
      0.96000     31.84798     17.00276     14.84522
      0.97000     30.53478     16.13160     14.40318
      0.98000     30.85395     16.07750     14.77645
      0.99000     28.44933     14.81532     13.63401
      1.00000     28.02325     14.69317     13.33007
      1.01000     32.35279     16.93620     15.41659
      1.02000     36.25771     18.79196     17.46576
      1.03000     38.29521     19.66146     18.63375
      1.04000     38.64597     19.66503     18.98094
      1.05000     39.37060     19.85594     19.51467
      1.06000     41.15931     20.60610     20.55321
      1.07000     41.36940     20.82580     20.54360
      1.08000     38.88439     19.84740     19.03699
      1.09000     38.01902     19.43389     18.58513
      1.10000     41.02460     20.90604     20.11856
      1.11000     63.15959     32.96691     30.19267
      1.12000    141.34082     76.33534     65.00548
      1.13000    205.77518    114.73501     91.04018
      1.14000    191.78951    113.08009     78.70942
      1.15000    228.11988    115.34845    112.77143
      1.16000    246.82158     87.96052    158.86107
      1.17000    148.64867     44.02810    104.62057
      1.18000     64.70459     24.68092     40.02368
      1.19000     48.31257     22.98396     25.32861
      1.20000     69.12353     33.35107     35.77246
      1.21000    143.22388     69.22835     73.99567
      1.22000    193.71382     94.16303     99.55223
      1.23000    126.99362     64.75872     62.24046
      1.24000     82.09538     56.38554     25.71772
      1.25000    110.22354     91.44468     18.78296
      1.26000    116.33015     93.95935     22.37159
      1.27000    113.54722     81.00153     32.54575
      1.28000    101.44759     67.70236     33.74523
      1.29000     60.57167     37.37347     23.19819
      1.30000     69.15462     38.17340     30.98121
